City_ID,City,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed,Date
0,Jamestown,AU,-33.21,138.6,94,18,76.15,1.79,1572426056
1,Qeshm,IR,26.96,56.27,20,46,93.2,9.17,1572426056
2,Tual,ID,-5.67,132.75,13,75,81.73,7.85,1572426056
3,Port Elizabeth,US,39.31,-74.98,90,93,63.0,3.36,1572426057
4,Vanavara,RU,60.35,102.28,99,73,16.56,15.5,1572426057
5,Busselton,AU,-33.64,115.35,100,53,64.99,24.52,1572426057
6,Saskylakh,RU,71.97,114.09,0,95,-7.19,6.76,1572426057
7,Mataura,NZ,-46.19,168.86,3,76,48.99,13.0,1572426057
8,Chuy,UY,-33.69,-53.46,88,91,61.97,8.72,1572426057
9,Ponta do Sol,BR,-20.63,-46.0,43,97,63.25,3.18,1572426057
10,Ponta Delgada,PT,37.73,-25.67,20,94,69.8,8.05,1572426057
11,Kochevo,BG,42.1,24.92,97,51,60.8,5.82,1572425885
12,Yuanping,CN,38.72,112.71,0,26,55.99,1.74,1572426058
13,Vaini,IN,15.34,74.49,40,58,82.4,11.41,1572426058
14,Carnarvon,ZA,-30.97,22.13,0,5,63.81,9.44,1572426058
15,Pevek,RU,69.7,170.27,0,84,2.88,8.28,1572426059
16,Hobyo,SO,5.35,48.53,64,58,86.05,9.84,1572426059
17,Kaitangata,NZ,-46.28,169.85,24,65,48.54,28.32,1572426059
18,Airai,TL,-8.93,125.41,86,77,71.92,4.56,1572426059
19,Prescott,US,34.54,-112.47,1,30,32.0,17.22,1572425823
20,Lompoc,US,34.64,-120.46,1,81,54.0,8.01,1572425863
21,Bud,NO,62.91,6.91,75,75,42.8,20.8,1572426059
22,Cabo San Lucas,MX,22.89,-109.91,0,84,72.0,11.21,1572426002
23,Rikitea,PF,-23.12,-134.97,100,79,71.47,9.26,1572426059
24,Ushuaia,AR,-54.81,-68.31,16,42,44.6,13.87,1572426048
25,Hilo,US,19.71,-155.08,90,78,73.4,3.36,1572426060
26,Punta Arenas,CL,-53.16,-70.91,100,69,33.8,13.87,1572426060
27,Belmonte,PT,40.36,-7.35,100,97,61.0,4.56,1572426060
28,Talnakh,RU,69.49,88.39,75,78,8.6,22.37,1572426060
29,Carayao,PY,-25.18,-56.4,0,50,81.07,5.21,1572426060
30,Norman Wells,CA,65.28,-126.83,75,100,24.8,2.24,1572426060
31,Hovd,NO,63.83,10.7,75,80,46.0,13.87,1572426060
32,Hithadhoo,MV,-0.6,73.08,100,77,82.44,13.11,1572426060
33,Yumbe,UG,3.47,31.25,1,59,84.58,4.65,1572426060
34,Butaritari,KI,3.07,172.79,100,75,84.38,19.1,1572426061
35,Puerto Ayora,EC,-0.74,-90.35,3,91,68.0,4.0,1572426061
36,Saint-Philippe,CA,45.36,-73.48,90,82,57.0,8.05,1572426061
37,Oranjemund,ZA,-28.55,16.43,0,27,71.73,13.87,1572426061
38,Teguise,ES,29.06,-13.56,20,83,75.2,11.41,1572426061
39,Ribeira Brava,PT,32.65,-17.07,20,83,71.01,2.24,1572426061
40,Kamenka,MD,48.03,28.7,0,66,43.0,5.99,1572426061
41,Leningradskiy,RU,69.38,178.42,0,77,16.34,17.85,1572426061
42,Kirakira,SB,-10.46,161.92,80,89,76.57,9.08,1572426061
43,Anadyr,RU,64.73,177.51,0,71,6.8,6.71,1572426063
44,Shimoda,JP,34.7,138.93,20,59,66.2,11.41,1572426063
45,Bluff,AU,-23.58,149.07,95,50,73.99,20.65,1572426063
46,Qaanaaq,GL,77.48,-69.36,96,88,5.99,8.37,1572426063
47,Longyearbyen,NO,78.22,15.63,75,72,15.8,8.05,1572426063
48,Kanniyakumari,IN,8.08,77.57,100,81,81.1,21.23,1572426063
49,Guangyuan,CN,32.43,105.86,80,62,70.0,3.56,1572426063
50,Flinders,AU,-34.58,150.85,59,46,73.4,5.82,1572426064
51,Yarada,IN,17.65,83.27,40,70,87.8,9.17,1572426064
52,Khatanga,RU,71.98,102.47,100,96,6.58,4.09,1572426064
53,Cape Town,ZA,-33.93,18.42,75,55,69.01,4.7,1572426064
54,Barrow,AR,-38.31,-60.23,97,69,55.09,12.19,1572426065
